chapter_id,segment_id,content,keywords,length
0,0,“易讯网”提供下载，http://www.yxun.net千 里命稿[民国] 韦千里 著目 录杨叔和序骆经畲序顾乃平序韦千里自序起例问答天干篇甲,"http,net千,www,yxun,录杨叔和序骆经畲序顾乃平序韦千里自序起例问答天干篇甲",72
0,1,天干篇甲乙丙丁戊己庚辛壬癸地支篇,"天干篇甲乙丙丁戊己庚辛壬癸地支篇,http,net千,www,yxun",16
0,2,癸地支篇子丑寅卯辰巳午未申酉,"癸地支篇子丑寅卯辰巳午未申酉,http,net千,www,yxun",14
0,3,申酉戌亥人元篇人元之利人元之害人元力量之分析五行篇金木水,"申酉戌亥人元篇人元之利人元之害人元力量之分析五行篇金木水,http,net千,www,yxun",28
0,4,木水火土强弱篇论身强论身弱六神篇伤官七杀正官食神,"木水火土强弱篇论身强论身弱六神篇伤官七杀正官食神,http,net千,www,yxun",24
0,5,正官食神偏正印偏正财比劫禄刃篇比肩之构成劫财之构成禄之构成刃之构成格局篇八格格外篇,"正官食神偏正印偏正财比劫禄刃篇比肩之构成劫财之构成禄之构成刃之构成格局篇八格格外篇,http,net千,www,yxun",41
0,6,八格格外篇曲真格炎上格稼穑格从革格润下格从财格从杀格从儿格从旺格从强格,"八格格外篇曲真格炎上格稼穑格从革格润下格从财格从杀格从儿格从旺格从强格,http,net千,www,yxun",35
0,7,从旺格从强格化气格建禄格月刃格外格结论运限篇行运之能力运之差别恶总论行运杂缀流年篇流年看法,"从旺格从强格化气格建禄格月刃格外格结论运限篇行运之能力运之差别恶总论行运杂缀流年篇流年看法,http,net千,www,yxun",45
0,8,流年篇流年看法流年与运之关系流年干支月建篇月建看法月建与流年之关系月建之干支月建时令六亲篇何为六亲六亲之更定,"流年篇流年看法流年与运之关系流年干支月建篇月建看法月建与流年之关系月建之干支月建时令六亲篇何为六亲六亲之更定,http,net千,www,yxun",54
0,9,何为六亲六亲之更定父母妻子之官位六亲分论女命篇女命看法女命取用解释富贵吉寿篇富贵吉寿,"何为六亲六亲之更定父母妻子之官位六亲分论女命篇女命看法女命取用解释富贵吉寿篇富贵吉寿,http,net千,www,yxun",42
0,10,吉寿贫贱凶夭篇贫贱凶夭补充篇天干地支阴阳生死干克,"吉寿贫贱凶夭篇贫贱凶夭补充篇天干地支阴阳生死干克,http,net千,www,yxun",24
0,11,阴阳生死干克干合干克干合并见干合而化支冲支合支刑支害地支冲合刑害并见刑冲克合害例天月德,"阴阳生死干克干合干克干合并见干合而化支冲支合支刑支害地支冲合刑害并见刑冲克合害例天月德,http,net千,www,yxun",43
0,12,刑冲克合害例天月德驿马贵人文昌旬空女命淫浅疾病妻财性情事业官杀并见,"刑冲克合害例天月德驿马贵人文昌旬空女命淫浅疾病妻财性情事业官杀并见,http,net千,www,yxun",33
0,13,事业官杀并见燥温评断篇评断之程序评断之标准评断之举例应运篇蒋介石吴佩孚阎锡山章太炎,"事业官杀并见燥温评断篇评断之程序评断之标准评断之举例应运篇蒋介石吴佩孚阎锡山章太炎,http,net千,www,yxun",41
0,14,阎锡山章太炎梅兰芳杨叔和序?观夫世界之广大，宇宙之奇妙，人事之渺茫，若可知，若不可知，虽圣人亦不敢以论断定也。然一春一秋，物故者新；一昼一夜，花开者谢。废兴成毁，盈虚依伏；大而名利，细而饮啄。默察一切，冥冥中似有定之者，故圣人不敢以论断定者。今可于中仄盈亏之象，五行生克之理之中，求之而百不失一焉。余始对于命运，乃深信而不疑。曩岁因事至申，访韦子千里于其寓，论往指来，不爽禾黍。且评语简明透澈，以少胜多。非深于道，明于理，通于儒，洞明乎世事者，弗能也。然余有感焉，江湖述士之流，恒籍此为生，理既不明，语亦鄙陋，大雅君子，为之不齿。命理之学，晦而不彰，安得如韦子者作中流之砥柱耶。今韦子学益进，出其馀绪，编印《命学讲义》一书问世，蒙示全稿，吟诵之余，觉奥邃详明，裨补后学，余尝有志于斯而未能，今又有鞭策之者矣。敢不勉旃，敢不勉旃。诗云：“高山仰止，景行行止”，虽不能至心响往之，爰书此以归。韦子其乐而教之乎，是有命焉，非余所敢望也。?公元一九三四年七月杨叔和于蚌埠大淮报馆?骆经畲序?余于公余之暇，喜读命学诸书。凡坊间古籍名著，均先后搜罗，迭经殚心参研，苦无心得，如《星平会海》、《三,"敢不勉旃,一书问世,一昼一夜,不爽禾黍,且评语简明透澈",491
